Totalsales;Travel To
326,35;CATANIA
132,08;FIUMICINO
120;CATANIA
326,35;CATANIA
74,96;CAGLIARI
68,84;FIUMICINO
-74,96;CAGLIARI
-58,84;FIUMICINO
643,88;PARIGI
248,87;BRUXELLES
132,08;FIUMICINO
132,08;CAGLIARI
137,58;FIUMICINO
132,08;CAGLIARI
132,08;CAGLIARI
137,58;CAGLIARI
335,82;NIZZA
137,58;CAGLIARI
132,08;FIUMICINO
132,08;FIUMICINO
129,73;FIUMICINO
132,08;CAGLIARI
74,96;CAGLIARI
68,84;FIUMICINO
57,12;FIUMICINO
137,58;CAGLIARI
132,08;CAGLIARI
132,08;CAGLIARI
596,1;BRUXELLES
416,69;PALERMO
74,96;CAGLIARI
68,84;FIUMICINO
132,08;CAGLIARI
-74,96;CAGLIARI
-132,08;CAGLIARI
-58,84;FIUMICINO
129,73;FIUMICINO
132,08;CAGLIARI
132,08;CAGLIARI
-132,08;CAGLIARI
56,34;MARSEILLE
98,08;FIUMICINO
137,58;CAGLIARI
5227,49;CAYENNE
132,08;FIUMICINO
178,27;CATANIA
56,84;FIUMICINO
137,58;CAGLIARI
210,16;BRINDISI
684,76;AMSTERDAM
721,81;AMSTERDAM
112,41;LAMEZIA TERME
603,53;ATENE
817,31;ESENBOGA
74,96;CAGLIARI
196,73;BERGAMO
132,08;CAGLIARI
343,67;ATENE
-259,59;BRUXELLES
132,08;CAGLIARI
132,08;FIUMICINO
259,7;AMMAN
395,56;FIUMICINO
1985,67;TAIPEI
962,31;AMSTERDAM
132,08;CAGLIARI
-132,08;CAGLIARI
302,79;TEL AVIV
188,67;ATENE
119,96;MILANO
200,99;FIUMICINO
71,96;MILANO
132,08;CAGLIARI
132,08;FIUMICINO
132,08;FIUMICINO
-132,08;FIUMICINO
132,08;CAGLIARI
132,08;FIUMICINO
132,08;CAGLIARI
82,96;OLBIA
57,12;FIUMICINO
132,08;FIUMICINO
4872,08;CAYENNE
137,58;CAGLIARI
93,13;PALERMO
125,9;TREVISO
429,42;TOLOUSE
218,8;CATANIA
188,67;ATENE
